repo,node,link,path,title or task,content type,task priority,linktitle,description,weight,lines,word_count,h2_sections,h3_sections,code_blocks,snippets,images,internal_links,external_links,has_admonition,http_status,notes
user-guide,A08,"=HYPERLINK(""https://kubevirt.io/user-guide/release_notes"",""link"")",release_notes.md,KubeVirt release notes,Reference,,,,,2867,26900,149,79,0,,0,0,716,,200,
user-guide,A09,"=HYPERLINK(""https://kubevirt.io/user-guide/contributing"",""link"")",contributing.md,Contributing,Tutorial,,,,,68,592,4,3,0,,0,1,27,,200,
user-guide,A10-B00,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/debug"",""link"")",debug_virt_stack/debug.md,Debug,How-to,,,,,221,482,2,6,11,bash yaml,0,0,1,,200,
user-guide,A10-B01,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/logging"",""link"")",debug_virt_stack/logging.md,Control libvirt logging for each component,How-to,,,,,81,159,0,0,4,console yaml,0,0,2,,200,
user-guide,A10-B02,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/privileged-node-debugging"",""link"")",debug_virt_stack/privileged-node-debugging.md,Privileged debugging on the node,How-to,,,,,225,640,1,4,12,console dockerfile yaml,0,0,4,,200,
user-guide,A10-B03,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/virsh-commands"",""link"")",debug_virt_stack/virsh-commands.md,Execute virsh commands in virt-launcher pod,How-to,,,,,61,104,0,0,4,console,0,0,2,,200,
user-guide,A10-B04,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/launch-qemu-strace"",""link"")",debug_virt_stack/launch-qemu-strace.md,Launch QEMU with strace,How-to,,,,,203,860,3,0,9,bash console dockerfile yaml,1,0,10,,200,
user-guide,A10-B05,"=HYPERLINK(""https://kubevirt.io/user-guide/debug_virt_stack/launch-qemu-gdb"",""link"")",debug_virt_stack/launch-qemu-gdb.md,Launch QEMU with gdb and connect locally with gdb client,How-to,,,,,186,428,2,1,14,bash console dockerfile yaml,0,2,1,,200,
user-guide,,"=HYPERLINK(""https://kubevirt.io/user-guide/compute/windows_virtio_drivers"",""link"")",compute/windows_virtio_drivers.md,Windows virtio drivers,How-to,,,,,154,784,4,2,0,,10,11,3,,200,
user-guide,,"=HYPERLINK(""https://kubevirt.io/user-guide/network/net_binding_plugins/macvtap"",""link"")",network/net_binding_plugins/macvtap.md,Macvtap binding,Reference,,,,,221,622,2,6,5,yaml,0,3,8,,200,
user-guide,,"=HYPERLINK(""https://kubevirt.io/user-guide/network/net_binding_plugins/passt"",""link"")",network/net_binding_plugins/passt.md,Passt binding,Reference,,,,,273,815,2,7,4,yaml,0,6,6,yes,200,
user-guide,,"=HYPERLINK(""https://kubevirt.io/user-guide/network/net_binding_plugins/slirp"",""link"")",network/net_binding_plugins/slirp.md,Slirp,Explanation,,,,,105,239,2,3,2,yaml,0,4,1,,200,
